"id","name","approve_year","approve_no","approve_region","suitable_region","culti_type","sub_type","maturity","control_variety","growth_days","compare_days","rice_code"
8486,株两优538,2014,赣审稻2014029,江西,江西省稻瘟病轻发区,7,9,13,中早35,110.40,0.20,ZLDZ-61-中稻
8487,株两优316,2014,赣审稻2014028,江西,江西省稻瘟病轻发区,7,9,13,中早35,110.50,0.10,ZLDZ-61-中稻
8488,两优48,2014,赣审稻2014027,江西,江西省稻瘟病轻发区,7,9,12,中早35,108.50,-1.80,ZLDZ-61-中稻
8489,江早361,2014,赣审稻2014026,江西,江西省稻瘟病轻发区,7,9,13,中早35,110.20,-0.10,ZLDZ-61-中稻
8490,陵两优1063,2013,赣审稻2003010,江西,江西省稻瘟病轻发区,7,9,13,天优998,124.80,-0.30,ZLDZ-61-中稻
8491,欣荣优华占,2013,赣审稻2003009,江西,江西省稻瘟病轻发区,7,9,13,天优998,122.70,-1.90,ZLDZ-61-中稻
8492,科优6418,2013,赣审稻2003008,江西,江西省稻瘟病轻发区,7,9,13,天优998,124.70,0.10,ZLDZ-61-中稻
8493,五优华占,2013,赣审稻2003007,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,120.10,0.60,ZLDZ-61-中稻
8494,五优328,2013,赣审稻2003006,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,118.90,-0.70,ZLDZ-61-中稻
8495,吉优12,2013,赣审稻2003005,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,119.10,-0.30,ZLDZ-61-中稻
8496,吉优268,2013,赣审稻2003004,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,119.70,0.20,ZLDZ-61-中稻
8497,湘优华占,2013,赣审稻2003003,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,119.40,0.10,ZLDZ-61-中稻
8498,五优136,2013,赣审稻2003002,江西,江西省稻瘟病轻发区,7,9,13,岳优9113,118.60,-0.70,ZLDZ-61-中稻
8499,广优2643,2013,赣审稻2003001,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,129.30,-1.70,ZLDZ-61-中稻
8500,国稻2号,2003,赣审稻2003017,江西,适宜在江西省各地种植。,7,9,12,汕优46,121.30,-3.00,ZLDZ-61-中稻
8501,中9优801,2003,赣审稻2003016,江西,适宜在江西省各地种植。,7,9,13,汕优46,124.40,0.10,ZLDZ-61-中稻
8502,K优金谷3号,2003,赣审稻2003015,江西,适宜在江西省各地种植。,7,9,13,汕优晚3,114.20,-3.30,ZLDZ-61-中稻
8503,K优金谷1号,2003,赣审稻2003014,江西,适宜在江西省各地种植。,7,9,13,汕优晚3,117.70,0.20,ZLDZ-61-中稻
8504,先农16号,2003,赣审稻2003013,江西,适宜在江西省各地种植。,7,9,13,汕优46,124.50,0.20,ZLDZ-61-中稻
8505,赣晚籼33号,2003,赣审稻2003012,江西,赣中南地区,4,9,16,赣晚籼19号,132.40,2.60,ZLDZ-11-双季晚稻
8506,赣晚籼32号,2003,赣审稻2003011,江西,赣中南稻瘟病轻发地区,4,9,16,赣晚籼19号,128.90,-1.00,ZLDZ-11-双季晚稻
8507,宜香1577,2003,赣审稻2003010,江西,江西省稻瘟病轻发地区,7,10,12,博优752,127.50,3.00,ZLDZ-61-中稻
8508,中优223,2003,赣审稻2003009,江西,适宜在江西省各地种植。,7,9,13,博优752,123.00,-3.00,ZLDZ-61-中稻
8509,博优141,2003,赣审稻2003008,江西,适宜在江西省各地种植。,4,9,16,博优752,134.30,6.80,ZLDZ-11-双季晚稻
8510,香两优98049,2003,赣审稻2003007,江西,适宜在江西省各地种植。,7,9,13,赣早籼40号,110.60,0.90,ZLDZ-61-中稻
8511,六两优3327,2003,赣审稻2003006,江西,适宜在江西省各地种植。,7,9,13,优I402,118.60,2.00,ZLDZ-61-中稻
8512,金优458,2003,赣审稻2003005,江西,适宜在江西省各地种植。,7,9,13,优I402,115.80,-0.80,ZLDZ-61-中稻
8513,赣早籼55号,2003,赣审稻2003003,江西,赣西北地区,7,9,13,浙733,114.60,3.40,ZLDZ-61-中稻
8514,赣早籼54号,2003,赣审稻2003002,江西,赣中北稻瘟病轻发地区,7,9,13,赣早籼40号,111.40,1.20,ZLDZ-61-中稻
8515,益优918,2012,赣审稻2012017,江西,江西省稻瘟病轻发地区,4,9,16,天优998,127.00,1.00,ZLDZ-11-双季晚稻
8516,荣优华占,2012,赣审稻2012016,江西,江西省稻瘟病轻发地区,4,9,16,天优998,125.90,-0.30,ZLDZ-11-双季晚稻
8517,泰优淦3号,2012,赣审稻2012015,江西,江西省稻瘟病轻发地区,7,9,13,天优998,124.90,-1.30,ZLDZ-61-中稻
8518,两优33,2012,赣审稻2012014,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,119.00,-0.60,ZLDZ-61-中稻
8519,岳优华占,2012,赣审稻2012013,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,117.40,-2.30,ZLDZ-61-中稻
8520,荣优15,2012,赣审稻2012012,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,117.60,-2.70,ZLDZ-61-中稻
8521,五优15,2012,赣审稻2012011,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,117.60,-1.70,ZLDZ-61-中稻
8522,五优662,2012,赣审稻2012010,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,119.20,-0.20,ZLDZ-61-中稻
8523,湘优196,2012,赣审稻2012009,江西,江西省稻瘟病轻发地区,7,9,13,岳优9113,118.80,-0.60,ZLDZ-61-中稻
8524,泰优398,2012,赣审稻2012008,江西,江西省稻瘟病轻发地区,7,9,13,金优207,111.20,-3.70,ZLDZ-61-中稻
8525,深两优5183,2012,赣审稻2012007,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,133.30,5.00,ZLDZ-61-中稻
8526,C两优1146,2012,赣审稻2012006,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,125.80,-2.50,ZLDZ-61-中稻
8527,嘉优99,2012,赣审稻2012005,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,136.30,7.90,ZLDZ-61-中稻
8528,川优华占,2012,赣审稻2012004,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,125.90,-2.50,ZLDZ-61-中稻
8529,建优381,2012,赣审稻2012003,江西,江西省稻瘟病轻发地区,7,9,13,Ⅱ优1308,124.90,-3.60,ZLDZ-61-中稻
8530,Y两优5813,2012,赣审稻2012002,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,130.70,2.20,ZLDZ-61-中稻
8531,红两优333,2012,赣审稻2012001,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优1308,126.60,-1.80,ZLDZ-61-中稻
8532,绵2优647,2011,赣审稻2011022,江西,江西省稻瘟病轻发地区,7,9,13,金优1506,116.10,0.60,ZLDZ-61-中稻
8533,陵两优7108,2011,赣审稻2011021,江西,江西省稻瘟病轻发地区,7,9,13,中早35,113.20,0.50,ZLDZ-61-中稻
8534,陵两优942,2011,赣审稻2011020,江西,江西省稻瘟病轻发地区,7,9,13,中早35,113.70,1.20,ZLDZ-61-中稻
8535,陆两优98,2011,赣审稻2011019,江西,江西省稻瘟病轻发地区,7,9,13,中早35,114.10,1.40,ZLDZ-61-中稻
8536,五优21,2011,赣审稻2011018,江西,江西省稻瘟病轻发地区,7,9,13,金优1506,117.00,1.50,ZLDZ-61-中稻
8537,庆丰优306,2011,赣审稻2011017,江西,江西省稻瘟病轻发地区,7,9,13,金优1506,117.40,1.90,ZLDZ-61-中稻
8538,株两优08,2011,赣审稻2011016,江西,江西省稻瘟病轻发地区,7,9,13,中早35,111.70,-0.90,ZLDZ-61-中稻
8539,五优301,2011,赣审稻2011015,江西,江西省稻瘟病轻发地区,7,9,13,金优1506,116.40,0.90,ZLDZ-61-中稻
