"id","province","city","county","data_year","detail","created_at","updated_at"
33,湖南省,郴州市,永兴县,"2026","{""1"": [""0506"", ""0511""], ""2"": [""0611"", ""0616""], ""3"": [""0711"", ""0718""], ""4"": [""0725"", ""0729""], ""5"": [""0913"", ""0918""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
34,湖南省,常德市,石门县,"2026","{""1"": [""0516"", ""0522""], ""2"": [""0620"", ""0623""], ""3"": [""0713"", ""0718""], ""4"": [""0811"", ""0814""], ""5"": [""0821"", ""0825""], ""6"": [""0831"", ""0906""], ""7"": [""0921"", ""0925""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
35,湖南省,益阳市,赫山区,"2026","{""1"": [""0508"", ""0513""], ""2"": [""0606"", ""0610""], ""3"": [""0706"", ""0711""], ""4"": [""0807"", ""0812""], ""5"": [""0824"", ""0828""], ""6"": [""0908"", ""0913""], ""7"": [""0916"", ""0920""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
36,湖南省,长沙市,长沙县,"2026","{""1"": [""0509"", ""0516""], ""2"": [""0609"", ""0614""], ""3"": [""0704"", ""0710""], ""4"": [""0807"", ""0812""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
37,湖南省,邵阳市,隆回县,"2026","{""1"": [""0517"", ""0525""], ""2"": [""0611"", ""0616""], ""3"": [""0706"", ""0711""], ""4"": [""0802"", ""0807""], ""5"": [""0818"", ""0822""], ""6"": [""0905"", ""0911""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
38,湖南省,常德市,鼎城区,"2026","{""1"": [""0512"", ""0517""], ""2"": [""0610"", ""0614""], ""3"": [""0712"", ""0717""], ""4"": [""0807"", ""0812""], ""5"": [""0819"", ""0823""], ""6"": [""0906"", ""0911""], ""7"": [""0921"", ""0929""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
39,湖南省,岳阳市,云溪区,"2026","{""1"": [""0512"", ""0520""], ""2"": [""0618"", ""0623""], ""3"": [""0719"", ""0727""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
40,湖南省,衡阳市,常宁市,"2026","{""1"": [""0511"", ""0518""], ""2"": [""0613"", ""0620""], ""3"": [""0709"", ""0714""], ""4"": [""0804"", ""0810""], ""5"": [""0822"", ""0822""], ""6"": [""0908"", ""0913""], ""7"": [""0919"", ""0926""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
41,湖南省,娄底市,新化县,"2026","{""1"": [""0514"", ""0520""], ""2"": [""0711"", ""0717""], ""3"": [""0812"", ""0818""], ""4"": [""0908"", ""0914""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
42,湖南省,邵阳市,洞口县,"2026","{""1"": [""0509"", ""0515""], ""2"": [""0611"", ""0617""], ""3"": [""0706"", ""0713""], ""4"": [""0729"", ""0804""], ""5"": [""0820"", ""0826""], ""6"": [""0909"", ""0916""], ""7"": [""0921"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
